식당명,주소1,주소2,위도,경도,행정동
찐한짬뽕,대구 수성구 청수로 26,(지번) 중동 412-1,35.8404965,128.6109535,중동
상하이짬뽕,대구 수성구 수성로50길 12,(지번) 중동 46,35.8475242,128.6136772,중동
차이원,대구 수성구 들안로 141-1,(지번) 중동 138-6,35.8426228,128.6164043,중동
금룡반점,대구 수성구 수성로43길 17,(지번) 중동 341-2,35.84507476,128.6116323,중동
백가네얼큰이,대구 수성구 수성로 184-11,(지번) 중동 177-5,35.84197929,128.6131734,중동
이모네꼬치,대구 수성구 청수로 27-3,(지번) 중동 417-46,35.84107122,128.6111573,중동
춘향,대구 수성구 수성로43길 17,(지번) 중동 341-2,35.84507476,128.6116323,중동
몽짬뽕,대구 수성구 용학로30길 12,(지번) 지산동 1183-8,35.82268462,128.6258224,지산2동
산동성,대구 수성구 지범로27길 79,(지번) 지산동 305-3,35.82354464,128.6397124,지산1동
화청궁,대구 수성구 지산로14길 76-8,(지번) 지산동 534,35.82601488,128.6381047,지산1동
이비가짬뽕 대구지산점,대구 수성구 무학로 183 2층,(지번) 지산동 761-19,35.83059246,128.6285022,지산1동
공앤짬뽕,대구 수성구 용학로 246,(지번) 지산동 1205-15,35.8201906,128.6352671,지산2동
짬뽕집,대구 수성구 용학로33길 24,(지번) 지산동 1250,35.82353638,128.6285971,지산2동
이화원,대구 수성구 청수로40길 20 A동 1,(지번) 지산동 920,35.83850533,128.6298759,지산1동
중국성,대구 수성구 지산로11길 11,(지번) 지산동 1262-9,35.82609808,128.6323483,지산1동
이천짜장면 삼천탕수육,대구 수성구 용학로 224 1층,(지번) 지산동 1199-5,35.82089164,128.632792,지산2동
라쿵푸 지산범물점,대구 수성구 용학로 293-5,(지번) 지산동 1288-23,35.82182825,128.6395325,지산1동
친한친구짬뽕,대구 수성구 용학로 240,(지번) 지산동 1205-1,35.8202344,128.6346637,지산2동
황후,대구 수성구 용학로 163 1층,(지번) 지산동 1241-8,35.82308626,128.6268871,지산2동
평화원반점,대구 수성구 용학로48길 38,(지번) 지산동 1207-7,35.81867851,128.6346556,지산2동
신성루,대구 수성구 지범로17길 16,(지번) 지산동 644-4,35.82659807,128.6310248,지산1동
윤짬뽕,대구 수성구 지범로23길 19,(지번) 지산동 1281,35.82366836,128.6372674,지산1동
경성야끼,대구 수성구 청수로40길 62,(지번) 지산동 976-1,35.83665761,128.6297441,지산1동
화성각반점,대구 수성구 용학로46길 41,(지번) 지산동 1206-7,35.81895176,128.6338058,지산2동
메이슈,대구 수성구 지범로 49,(지번) 지산동 1160-34,35.82627269,128.6275742,지산2동
마라루 지산점,대구 수성구 지범로 181 1층 103호,(지번) 지산동 1288-24,35.8216824,128.639311,지산1동
만리향,대구 수성구 지범로23길 19 1층,(지번) 지산동 1281-7,35.82366836,128.6372674,지산1동
정쉐프의탕슉&치킨 황금지산점,대구 수성구 청수로40길 30,(지번) 지산동 974-7,35.83810677,128.6298878,지산1동
짜장과짬뽕사이 영하점,대구 수성구 동대구로6길 54,(지번) 지산동 1069-3,35.83190456,128.6267167,지산1동
래래궁,대구 수성구 용학로35길 11 1층,(지번) 지산동 1250-15,35.82305424,128.6285662,지산2동
뽕반점,대구 수성구 지범로 49-2,(지번) 지산동 1160-42,35.82625768,128.6277578,지산2동
마라루지산점,대구 수성구 지범로29길 16,(지번) 지산동 1283-9,35.82339337,128.6378661,지산1동
동해반점,대구 수성구 파동로 30-1,(지번) 파동 581-52,35.80760901,128.6215377,파동
파동반점,대구 수성구 파동로 62-1,(지번) 파동 496-10,35.80984319,128.6195019,파동
호산원반점,대구 수성구 용학로 8,(지번) 파동 672,35.8254644,128.6110137,파동
북경성,대구 수성구 파동로 75,(지번) 파동 508-6,35.81078319,128.6183169,파동
백리향,대구 수성구 파동로 120,(지번) 파동 153,35.81396122,128.616171,파동
리틀상하이,대구 수성구 유니버시아드로 140,(지번) 대흥동 504,35.83235156,128.6867739,고산2동
