식당명,주소1,주소2,위도,경도,행정동
참치스타그램,대구 수성구 상록로 5,(지번) 범어동 557-19,35.85997005,128.6237285,범어3동
왕곱빼기냉면&수제돈까스,대구 수성구 범어로20길 51,(지번) 범어동 211-52,35.85799578,128.6386236,범어4동
김선장회초밥,대구 수성구 성동로 41,(지번) 사월동 550-6,35.8383659,128.7235819,고산3동
아라한참치,대구 수성구 들안로 41,(지번) 상동 321-4,35.83341769,128.6161978,상동
민수사,대구 수성구 들안로 19,(지번) 상동 403-1,35.83150393,128.6162111,상동
길세이로무시 대구본점,대구 수성구 들안로 93 1층,(지번) 상동 12-9,35.83815391,128.6162656,상동
남강회초밥,대구 수성구 들안로 17,(지번) 상동 403-3,35.83125543,128.6162217,상동
미야꼬,대구 수성구 들안로 19-1,(지번) 상동 402-5,35.83160805,128.6162552,상동
대륙회초밥,대구 수성구 들안로 99,(지번) 상동 11-2,35.83875678,128.6162053,상동
진오마카세 수성본점,대구 수성구 신천동로26길 4 1층,(지번) 상동 149-18,35.83662306,128.6072967,상동
대번 본점,대구 수성구 들안로 63,(지번) 상동 70-3,35.83553728,128.6162175,상동
카츠윤,대구 수성구 수성로12길 38 101호,(지번) 상동 385-16,35.83150549,128.6119891,상동
도케루,대구 수성구 수성로32길 87,(지번) 상동 41-13,35.83738915,128.6135207,상동
스시구르메,대구 수성구 수성로 140-3 호암빌딩 1층,(지번) 상동 24-1,35.83802218,128.6125558,상동
주문진회무침,대구 수성구 들안로 79-1,(지번) 상동 48-3,35.83704269,128.6164216,상동
시더스 초밥&파라볼레 대구수성점,대구 수성구 무학로 67,(지번) 상동 406-3,35.82993539,128.6158628,상동
시오톤,대구 수성구 수성로 341,(지번) 수성동1가 222-8,35.85599906,128.6135184,수성1가동
스시&스시 본점,대구 수성구 달구벌대로 2284,(지번) 수성동1가 72-4,35.85959028,128.6123311,수성1가동
효탄,대구 수성구 명덕로75길 14-2,(지번) 수성동1가 266-16,35.85504123,128.6118811,수성1가동
해인,대구 수성구 명덕로 381-1,(지번) 수성동1가 268-3,35.85476205,128.6118546,수성1가동
마이카츠 수성1가점,대구 수성구 수성로69길 41 롯데더퍼스트상가 4동 1층 104호,(지번) 수성동1가 822,35.85552112,128.6115226,수성1가동
오얏리스시,대구 수성구 달구벌대로458길 21 1층,(지번) 수성동1가 39-22,35.85881976,128.6127307,수성1가동
장우동 한가람지점,대구 수성구 수성로 315-1,(지번) 수성동1가 275-10,35.85381217,128.613236,수성1가동
유지,대구 수성구 달구벌대로458길 28 1층,(지번) 수성동1가 82-3,35.85851444,128.6126039,수성1가동
시오돈,대구 수성구 수성로 341,(지번) 수성동1가 222-8,35.85599906,128.6135184,수성1가동
다올돈까스&수제,대구 수성구 수성로69길 70 수성롯데캐슬더퍼스트아파트 상가2동 103호,(지번) 수성동1가 249-139,35.85658252,128.6095239,수성1가동
해성참치 수성점,대구 수성구 수성로 342,(지번) 수성동2가 244-2,35.85592687,128.6139616,수성2.3가동
수야수제돈까스,대구 수성구 수성로76길 18,(지번) 수성동2가 124-1,35.8572396,128.6148838,수성2.3가동
참치데이,대구 수성구 수성로74길 49,(지번) 수성동2가 29,35.85670105,128.6165947,수성2.3가동
돈까스식당 수성점,대구 수성구 수성로68길 29,(지번) 수성동2가 157-7,35.85512109,128.615368,수성2.3가동
포세이너,대구 수성구 수성로58길 37,(지번) 수성동2가 107-5,35.85173668,128.6155815,수성2.3가동
