식당명,주소1,주소2,위도,경도,행정동
파스테리아 범어점,대구 수성구 달구벌대로492길 17 1층,(지번) 범어동 202-15,35.85721237,128.6321938,범어4동
그릴플라츠,대구 수성구 동대구로59길 8-12 2층,(지번) 범어동 562-3,35.85830794,128.6248648,범어1동
파파존스 대구수성점,대구 수성구 동대구로 220 2층,(지번) 범어동 674-2,35.84996272,128.6254995,범어1동
서양식당,대구 수성구 달구벌대로496길 72 서한두레상가 1층 104호,(지번) 범어동 305-3,35.85247297,128.6345422,범어4동
고릴라해산물 대구만촌점,대구 수성구 국채보상로 988,(지번) 범어동 425-3,35.86616571,128.6382442,범어2동
우니올로,대구 수성구 국채보상로162길 24 1층,(지번) 범어동 1200,35.86658226,128.6189151,범어3동
오일리버거 범어점,대구 수성구 달구벌대로480길 37 1층,(지번) 범어동 549-7,35.85854841,128.6230553,범어1동
서양식당 범어네거리점,대구 수성구 달구벌대로480길 28 2층,(지번) 범어동 560-3,35.8586534,128.6236746,범어1동
미스터피자 범어점,대구 수성구 달구벌대로 2489 범어합동빌딩 1층 2호,(지번) 범어동 170-5,35.85916526,128.6349347,범어2동
덕담 범어점,대구 수성구 동대구로80길 14 DCT빌딩 1층,(지번) 범어동 47-5,35.86562031,128.6281336,범어2동
서가앤쿡 딜리버리 대구범어점,대구 수성구 달구벌대로 2491-2 1층,(지번) 범어동 171-3,35.85938069,128.635202,범어2동
도미노피자 범어점,대구 수성구 동대구로 240 청구푸른마을 상가 106호,(지번) 범어동 614-100,35.85198456,128.6262155,범어1동
에스파냐,대구 수성구 달구벌대로 2421,(지번) 범어동 177-7,35.8594375,128.627642,범어2동
스트롤링샵,대구 수성구 국채보상로162길 50 1층,(지번) 범어동 1460,35.86543391,128.6192915,범어3동
에그베리11 범어직영점,대구 수성구 달구벌대로496길 5,(지번) 범어동 199-5,35.85808944,128.6342088,범어4동
로우에디션,대구 수성구 범어로 119 1층,(지번) 범어동 147-35,35.86007402,128.6355133,범어2동
프랭크버거 대구범어점,대구 수성구 청호로 424 1층,(지번) 범어동 85-2,35.85464039,128.6398782,범어4동
버거스올마이티 범어점,대구 수성구 달구벌대로 2398 1층,(지번) 범어동 561-4,35.85875858,128.6247333,범어1동
안달루시아,대구 수성구 범어천로 90,(지번) 범어동 782-2,35.85670253,128.6229937,범어1동
다이닝호월,대구 수성구 상록로 39 3층,(지번) 범어동 479-9,35.86298653,128.6237884,범어3동
피자스쿨 대구범어역점,대구 수성구 동대구로59길 14-8,(지번) 범어동 792-4,35.85802085,128.6241178,범어1동
비스트로공작새 대구점,대구 수성구 범어로24길 10,(지번) 범어동 224-5,35.85957573,128.6363903,범어2동
그릴5타코,대구 수성구 동대구로59길 14-14 테라스하임 1층 102호,(지번) 범어동 547-34,35.85823664,128.6240664,범어1동
베를린버거 범어점,대구 수성구 동대구로 341-3 1층,(지번) 범어동 43,35.86098168,128.6255131,범어3동
로벤 범어,대구 수성구 달구벌대로495길 22 1층,(지번) 범어동 152-8,35.8599252,128.6343117,범어2동
레바타,대구 수성구 달구벌대로489길 79,(지번) 범어동 152-17,35.85978665,128.6347317,범어2동
파스토보이 수성점,대구 수성구 달구벌대로480길 5 2층,(지번) 범어동 562-1,35.85851813,128.6248547,범어1동
잇워즈고트,대구 수성구 상록로2길 13-14 1~2층,(지번) 범어동 37-1,35.8613593,128.6248575,범어3동
마이야르,대구 수성구 범어로20길 5 1층,(지번) 범어동 208-12,35.85798767,128.6360782,범어4동
호텔라온제나 드 레스토레 엘,대구 수성구 범어천로 73 1층,(지번) 범어동 805-4,35.853536,128.6224946,범어1동
가스트로파체,대구 수성구 달구벌대로501길 7 1층,(지번) 범어동 224-12,35.85961227,128.6376499,범어2동
범어모던키친,대구 수성구 청호로85안길 11 2층,(지번) 범어동 78-2,35.85587851,128.6394586,범어4동
오스테리아준키친,대구 수성구 범어로18길 63,(지번) 범어동 215-13,35.85728971,128.6390877,범어4동
7번가피자 수성점,대구 수성구 동대구로55길 11 상가 101동 107호,(지번) 범어동 775-14,35.85402425,128.6239205,범어1동
