식당명,주소1,주소2,위도,경도,행정동,,
황장군 들안길점,대구 수성구 들안로 28,(지번) 두산동 153-12,35.83233197,128.6171907,두산동,,
히로미찌찜닭,대구 수성구 들안로 76-1,(지번) 두산동 68-1,35.83663794,128.6171547,두산동,,
풍기삼계탕,대구 수성구 들안로 58,(지번) 두산동 138-10,35.83492719,128.6171161,두산동,,
몽연,대구 수성구 수성못6길 20-12 1층,(지번) 두산동 710-2,35.8264614,128.6247633,두산동,,
안동뒷고기리저브,대구 수성구 용학로25길 51 1층,(지번) 두산동 700,35.82604649,128.6249318,두산동,,
옛날삼겹살,대구 수성구 청수로24길 17,(지번) 두산동 91-4,35.83898811,128.6217086,두산동,,
황토오리가마구이,대구 수성구 들안로 4,(지번) 두산동 173-2,35.83011153,128.6172857,두산동,,
수원본갈비 강호본가,대구 수성구 용학로 70,(지번) 두산동 908-3,35.8261353,128.6173,두산동,,
형제옛날불고기,대구 수성구 지범로 46,(지번) 두산동 740,35.82623388,128.6257478,두산동,,
부자막창,대구 수성구 무학로21길 47,(지번) 두산동 162-13,35.83217031,128.620521,두산동,,
수성못족발유원지,대구 수성구 수성못2길 37-5,(지번) 두산동 713,35.82598897,128.6234604,두산동,,
창고43 대구수성점,대구 수성구 용학로 92-4 수성스퀘어 2층 201~203호,(지번) 두산동 863-3,35.82524681,128.6201468,두산동,,
꽃핀돈,대구 수성구 상화로 116-1 1층,(지번) 두산동 133-15,35.83506474,128.6199093,두산동,,
테트리스찜닭 본점,대구 수성구 들안로 68 4층,(지번) 두산동 69-5,35.83590132,128.6171901,두산동,,
금관한우,대구 수성구 상화로 100 1층,(지번) 두산동 135-7,35.83495282,128.6179366,두산동,,
육대가,대구 수성구 들안로 70,(지번) 두산동 69-4,35.83611087,128.6171677,두산동,,
미송생고기,대구 수성구 무학로23길 52,(지번) 두산동 194-6,35.83247785,128.6220383,두산동,,
고박사생고기,대구 수성구 들안로16길 21,(지번) 두산동 34-4,35.83720362,128.6175738,두산동,,
고기부심,대구 수성구 동대구로15길 34 1층,(지번) 두산동 88-4,35.83782802,128.6216656,두산동,,
돈테일링,대구 수성구 수성못6길 6,(지번) 두산동 660,35.82699226,128.622716,두산동,,
삼육식당,대구 수성구 무학로23길 17 1층,(지번) 두산동 180-10,35.83097964,128.621649,두산동,,
횡성한우천년우정,대구 수성구 들안로 110,(지번) 두산동 2-1,35.83966767,128.6171553,두산동,,
신안동갈비,대구 수성구 용학로25길 26,(지번) 두산동 744-7,35.82487243,128.624869,두산동,,
두산일번지,대구 수성구 수성못2길 13-1,(지번) 두산동 688,35.82530991,128.6228032,두산동,,
명가장족발보쌈,대구 수성구 무학로21길 32,(지번) 두산동 185-4,35.83156876,128.6207705,두산동,,
삼삼막창1994 대구수성못점,대구 수성구 용학로25길 19 1층,(지번) 두산동 768,35.82484012,128.6242325,두산동,,
이서뒷고기,대구 수성구 청수로 116,(지번) 두산동 15-4,35.83975225,128.620689,두산동,,
초극강뒷고기 두산동직영점,대구 수성구 무학로23길 25,(지번) 두산동 180-5,35.83130695,128.6217078,두산동,,
발빠닭 두산점,대구 수성구 무학로23길 91 1층,(지번) 두산동 127-10,35.83427513,128.6218486,두산동,,
돼지로,대구 수성구 무학로23길 67,(지번) 두산동 190-4,35.83325091,128.6218335,두산동,,
불야시불닭발 본점,대구 수성구 무학로21길 61 1층,(지번) 두산동 146-4,35.83298599,128.6204103,두산동,,
동궁찜닭 두산상동점,대구 수성구 상화로 128 1층,(지번) 두산동 132-3,35.83517488,128.6211036,두산동,,
혜동갈비,대구 수성구 청수로20길 9-34,(지번) 두산동 18-2,35.83945404,128.6208379,두산동,,
쪽갈비에 꽃피다,대구 수성구 동대구로3길 28,(지번) 두산동 192-6,35.8320362,128.6215776,두산동,,
포크래인,대구 수성구 무학로23길 7 1층,(지번) 두산동 179-6,35.83057588,128.6216186,두산동,,
도리도리 수성점,대구 수성구 무학로21길 9 1층,(지번) 두산동 176-9,35.8305866,128.6203369,두산동,,
소백축산식당,대구 수성구 무학로17길 14-10,(지번) 두산동 176-4,35.83048704,128.619306,두산동,,
청와삼대 수성못점,대구 수성구 용학로 138 1층,(지번) 두산동 746,35.82359293,128.6241461,두산동,,
우도리 본점,대구 수성구 수성못2길 29 1층,(지번) 두산동 705,35.82590341,128.6237769,두산동,,
정겨운갈비,대구 수성구 들안로 34,(지번) 두산동 152-4,35.8328283,128.6172188,두산동,,
프리미엄양가 대구수성직영점,대구 수성구 무학로23길 48 1층,(지번) 두산동 194-9,35.83234161,128.6220443,두산동,,
파족지세,대구 수성구 청수로24길 21,(지번) 두산동 91-3,35.83889476,128.6213741,두산동,,
미더운황제,대구 수성구 용학로25길 38,(지번) 두산동 744,35.82537094,128.6251486,두산동,,
돼지로1985 본점,대구 수성구 청수로24길 9 1층,(지번) 두산동 92,35.83939654,128.6214261,두산동,,
가장맛있는족발 대구수성못점,대구 수성구 무학로23길 59 1층,(지번) 두산동 190-7,35.83286247,128.6216502,두산동,,
족발마씸,대구 수성구 동대구로7길 34,(지번) 두산동 130-1,35.83374313,128.6212653,두산동,,
닭동가리,대구 수성구 용학로 115 1동,(지번) 두산동 690,35.82509497,128.6225507,두산동,,
돈짝 수성못점,대구 수성구 무학로 115,(지번) 두산동 179-1,35.83021548,128.6212071,두산동,,
계모임,대구 수성구 상화로 118,(지번) 두산동 133-3,35.8349358,128.6200958,두산동,,
닭두꺼비 본점,대구 수성구 동대구로3길 39,(지번) 두산동 185-2,35.83184424,128.6207572,두산동,,
돼지갈비전문점 꾸이맨,대구 수성구 청수로24길 34,(지번) 두산동 19-14,35.83846652,128.6210819,두산동,,
제주촌 들안길점,대구 수성구 들안로 104,(지번) 두산동 3-3,35.83906697,128.6171352,두산동,,
돈오락쪽갈비 수성점,대구 수성구 들안로8길 12,(지번) 두산동 154-31,35.83333502,128.6175195,두산동,,
서민생막창 직영점,대구 수성구 들안로8길 17,(지번) 두산동 137-22,35.83355276,128.6176515,두산동,,
하누데이,대구 수성구 동대구로7길 14,(지번) 두산동 122-3,35.83379644,128.6225767,두산동,,
현가네33족발 수성점,대구 수성구 무학로23길 15,(지번) 두산동 179-9,35.83079911,128.621638,두산동,,
삼돈이,대구 수성구 동대구로7길 20,(지번) 두산동 123-1,35.83374751,128.6221895,두산동,,
놀부보쌈 대구수성점,대구 수성구 들안로 30,(지번) 두산동 153-1,35.83247969,128.6171753,두산동,,
꼭달이 기사우동불고기,대구 수성구 청수로 114,(지번) 두산동 15-2,35.83984882,128.6205248,두산동,,
박창우의소백산왕소금구이 수성못점,대구 수성구 수성못2길 43 1층,(지번) 두산동 670-3,35.8265162,128.6235292,두산동,,
대장금안동생고기 본점,대구 수성구 수성못2길 47 1층,(지번) 두산동 669-5,35.82676649,128.6233329,두산동,,
갈꾸리화덕막창,대구 수성구 무학로23길 17,(지번) 두산동 180-10,35.83097964,128.621649,두산동,,
원성숯불 수성점,대구 수성구 동대구로3길 19,(지번) 두산동 202-10,35.83178138,128.6219901,두산동,,
달인의찜닭 두산점,대구 수성구 동대구로 59,(지번) 두산동 105,35.83584738,128.6225479,두산동,,
대구닭갈비&닭발,대구 수성구 청수로 94,(지번) 두산동 8,35.83983505,128.6183906,두산동,,
우봉가 두산점,대구 수성구 무학로23길 92,(지번) 두산동 123-5,35.83421182,128.6222126,두산동,,
곱창고,대구 수성구 용학로 115,(지번) 두산동 690,35.82509497,128.6225507,두산동,,
국대막창,대구 수성구 무학로 115,(지번) 두산동 179-1,35.83021548,128.6212071,두산동,,
세여자소고기,대구 수성구 수성못6길 10 1층,(지번) 두산동 669-1,35.82708759,128.6230643,두산동,,
샤이뜨루 육회더하기,대구 수성구 용학로25길 47 1층,(지번) 두산동 699,35.82589293,128.6247524,두산동,,
장천 성원식육식당,대구 수성구 지범로1길 1-1,(지번) 두산동 310,35.82940114,128.624368,두산동,,
태봉산삼마을,대구 수성구 지범로 61-4,(지번) 두산동 730,35.82767482,128.6266466,두산동,,
일출한우한돈마을,대구 수성구 들안로 70,(지번) 두산동 69-4,35.83611087,128.6171677,두산동,,
명동생고기,대구 수성구 청수로24길 72,(지번) 두산동 44-12,35.83660443,128.6209321,두산동,,
123찜닭,대구 수성구 동대구로 55 2층,(지번) 두산동 119-1,35.83525267,128.6230779,두산동,,
부가네얼큰이,대구 수성구 무학로21길 78,(지번) 두산동 188-5,35.83351401,128.6209345,두산동,,
안동찜닭 두산점,대구 수성구 상화로 98-4,(지번) 두산동 137-9,35.8347992,128.6176737,두산동,,
녹슨드럼통바베큐 수성못점,대구 수성구 수성못2길 15,(지번) 두산동 689,35.82553929,128.6231342,두산동,,
추억생고기,대구 수성구 청수로 92,(지번) 두산동 6,35.84003886,128.6180114,두산동,,
대머리육회탕탕이 둔산점,대구 수성구 동대구로3길 14-27,(지번) 두산동 194-15,35.83316142,128.6223215,두산동,,
우미생고기,대구 수성구 무학로23길 82 1층,(지번) 두산동 123-9,35.8338511,128.6221652,두산동,,
흥부찜닭 두산점,대구 수성구 들안로8길 85,(지번) 두산동 134-5,35.83478231,128.6204781,두산동,,
밀양,대구 수성구 무학로23길 11,(지번) 두산동 179-8,35.83067363,128.621641,두산동,,
호미고깃간,대구 수성구 무학로23길 17,(지번) 두산동 180-10,35.83097964,128.621649,두산동,,
