식당명,주소1,주소2,위도,경도,행정동,
파스쿠찌 수성구청역점,대구 수성구 달구벌대로 2485 1층,(지번) 범어동 169-3,35.85920432,128.6343955,범어2동,
분더브레드 범어점,대구 수성구 달구벌대로 2372,(지번) 범어동 804-77,35.8591255,128.621941,범어1동,
일리카페 범어점,대구 수성구 범어천로 186 범어메디스퀘어 1층,(지번) 범어동 2137,35.8632515,128.6211638,범어3동,
카페414,대구 수성구 들안로 414 1층,(지번) 범어동 1163,35.86685165,128.6187913,범어3동,
헤이트먼데이,대구 수성구 범어로20길 21 1층,(지번) 범어동 207-12,35.85800107,128.6369467,범어4동,
인아워타임 대구범어점,대구 수성구 범어로 135,(지번) 범어동 147-42,35.86151968,128.6355093,범어2동,
카페더힐,대구 수성구 달구벌대로496길 48 1층,(지번) 범어동 292-16,35.85424964,128.6342916,범어4동,
더리터 수성구청역점,대구 수성구 달구벌대로 2513 1층,(지번) 범어동 223-1,35.85923006,128.6375865,범어2동,
텐퍼센트커피 대구범어그랜드점,대구 수성구 달구벌대로480길 28 1층,(지번) 범어동 560-3,35.8586534,128.6236746,범어1동,
스니프,대구 수성구 범어로20길 49 1층,(지번) 범어동 211-11,35.85800724,128.63851,범어4동,
카페봄봄 청구점,대구 수성구 국채보상로 846 청구성조타운 111호,(지번) 범어동 2017,35.86659415,128.6226817,범어3동,
5후,대구 수성구 상록로11길 13,(지번) 범어동 475-38,35.86468207,128.6230717,범어3동,
이디야커피 대구범어경신점,대구 수성구 청호로 423,(지번) 범어동 85,35.85482363,128.639347,범어4동,
매스커피 범어역점,대구 수성구 동대구로 345,(지번) 범어동 35-1,35.86201673,128.6256728,범어3동,
이디야커피 범어N타워점,대구 수성구 상록로 5,(지번) 범어동 557-19,35.85997005,128.6237285,범어3동,
호두나무 수성점,대구 수성구 달구벌대로 2482,(지번) 범어동 197-7,35.85836957,128.6339469,범어4동,
이디야커피 대구수성구청역점,대구 수성구 달구벌대로501길 6,(지번) 범어동 221-9,35.85941199,128.6379643,범어2동,
올웨이즈베케이션클럽,대구 수성구 국채보상로162길 34 1층,(지번) 범어동 1218,35.86612453,128.6190319,범어3동,
아틀리에빈,대구 수성구 달구벌대로512길 4,(지번) 범어동 217,35.85822953,128.6426613,범어4동,
소울리브,대구 수성구 달구벌대로480길 9 3층,(지번) 범어동 551-7,35.85845949,128.6241804,범어1동,
카페봄봄 범어점,대구 수성구 달구벌대로 2522 1층,(지번) 범어동 211-2,35.85856931,128.6386462,범어4동,
소복담,대구 수성구 동원로1길 21 1층 101호,(지번) 범어동 222-5,35.85967297,128.6390338,범어2동,
더유갤러리카페,대구 수성구 달구벌대로489길 37-21,(지번) 범어동 159-1,35.86095842,128.6321261,범어2동,
오늘도통통,대구 수성구 동대구로55길 8-4 1층 102호,(지번) 범어동 786-4,35.85525199,128.6245252,범어1동,
텐퍼센트커피 대구범어도서관점,대구 수성구 달구벌대로 2455 1층,(지번) 범어동 165-15,35.85906624,128.6312414,범어2동,
커피1번가,대구 수성구 상록로16길 60-2 1,(지번) 범어동 11-1,35.86499121,128.6258797,범어3동,
카페봄봄 대구 법원점,대구 수성구 동대구로 359 1층,(지번) 범어동 32-1,35.8625873,128.6263209,범어3동,
요얼쓰,대구 수성구 범어로24길 14 1층,(지번) 범어동 224-6,35.85963853,128.6365697,범어2동,
핸즈커피 범어4가점,대구 수성구 달구벌대로 2482 진앤진빌딩 1층,(지번) 범어동 197-26,35.85836957,128.6339469,범어4동,
알리스타케냐커피 대구범어네거리점,대구 수성구 동대구로 311-1 1~3층,(지번) 범어동 563-7,35.85844454,128.6252388,범어1동,
아마스빈 대구범어점,대구 수성구 달구벌대로 2498,(지번) 범어동 205-1,35.85848121,128.6359269,범어4동,
카페나무,대구 수성구 상록로 8-19,(지번) 범어동 40-7,35.86029229,128.6250687,범어3동,
파스쿠찌 대구라온제나점,대구 수성구 범어천로 73 라온제나호텔 1층 102,(지번) 범어동 805-4,35.853536,128.6224946,범어1동,
마시그래이 대구법원점,대구 수성구 동대구로 371,(지번) 범어동 13-10,35.86351526,128.6264171,범어3동,
정스콘,대구 수성구 범어로 119-1,(지번) 범어동 147-10,35.86020696,128.6355252,범어2동,
대구그랜드호텔 더라운지,대구 수성구 동대구로 305,(지번) 범어동 563-1,35.85767615,128.6249847,범어1동,
레프트뱅크 범어점,대구 수성구 달구벌대로496길 20 1층,(지번) 범어동 202-2,35.85733745,128.6339895,범어4동,
만랩커피 대구범어법원점,대구 수성구 동대구로73길 17,(지번) 범어동 30-1,35.86306009,128.6254454,범어3동,
오브느 범어점,대구 수성구 범어로 119,(지번) 범어동 147-35,35.86007402,128.6355133,범어2동,
더리터 범어점,대구 수성구 달구벌대로480길 9 범어클래시아 111호,(지번) 범어동 551-7,35.85845949,128.6241804,범어1동,
파스쿠찌 대구법원점,대구 수성구 동대구로 371-1 1층,(지번) 범어동 13-17,35.86362441,128.6264283,범어3동,
청솔로9 본점,대구 수성구 상록로 15 범어센트럴푸르지오 1층 130호,(지번) 범어동 558-16,35.86111989,128.6230363,범어3동,
카페봄봄 대구 범어역점,대구 수성구 달구벌대로 2378 1층,(지번) 범어동 559-7,35.85902751,128.6227043,범어1동,
아티자나,대구 수성구 동대구로42길 11 1층,(지번) 범어동 687-2,35.84938561,128.6258939,범어1동,
그로잉,대구 수성구 상록로 60 1층,(지번) 범어동 7-5,35.86487246,128.6241663,범어3동,
드롭탑 대구범어점,대구 수성구 상록로 80 103동 1층,(지번) 범어동 1-4,35.8663693,128.6244892,범어3동,
마시그래이 범어로데오점,대구 수성구 달구벌대로504길 6,(지번) 범어동 207-6,35.85817348,128.6379628,범어4동,
어썸(awesome),대구 수성구 상록로 11,(지번) 범어동 557-36,35.86020796,128.623761,범어3동,
도어룸나인커피,대구 수성구 달구벌대로489길 64,(지번) 범어동 166-12,35.85949927,128.6338052,범어2동,
그로브,대구 수성구 동대구로74길 71 1층,(지번) 범어동 52-8,35.86443661,128.6305956,범어2동,
스무디킹 이마트24범어로데오점,대구 수성구 달구벌대로 2518,(지번) 범어동 206-6,35.85850312,128.6380089,범어4동,
노바디커피클럽,대구 수성구 청솔로14길 16 1층,(지번) 범어동 805-212,35.85113646,128.621612,범어1동,
김진수로스터리카페 범어점,대구 수성구 동대구로52길 25 1층,(지번) 범어동 899-29,35.85355836,128.6270307,범어1동,
오늘,대구 수성구 동대구로77길 16 1층,(지번) 범어동 12-5,35.86483762,128.6255894,범어3동,
희연커피,대구 수성구 동원로 41-1,(지번) 범어동 407-5,35.86273702,128.6392317,범어2동,
휩(whip),대구 수성구 범어로19길 57,(지번) 범어동 201-4,35.85778473,128.6326347,범어4동,
